time [h]	Qdot1 [W]
1555	28219.1
1556	25427.0
1557	23087.2
1558	21143.1
1559	19593.6
1560	18404.4
1561	17496.4
1562	16784.0
1563	16149.5
1564	18131.0
1565	61133.2
1566	46458.2
1567	38816.7
1568	29863.4
1569	20528.5
1570	15269.3
1571	13603.9
1572	16233.2
1573	17179.1
1574	13526.0
1575	12222.6
1576	12864.7
1577	16351.7
1578	19201.5
1579	18117.6
1580	17470.3
1581	16784.8
1582	15816.3
1583	14915.0
1584	13981.5
1585	13151.0
1586	12534.7
1587	12295.9
1588	12852.2
1589	33816.3
1590	27434.7
1591	25241.4
1592	22793.5
1593	14836.1
1594	12126.1
1595	11613.5
1596	14788.3
1597	12581.6
1598	7951.0
1599	6649.5
1600	7329.7
1601	10573.4
1602	13246.8
1603	13721.6
1604	13972.0
1605	13817.2
1606	13469.8
1607	13388.8
1608	12861.1
1609	12706.9
1610	12436.8
1611	11913.5
1612	12591.5
1613	35044.4
1614	27778.2
1615	24368.5
1616	20529.9
1617	14469.1
1618	12641.5
1619	12609.5
1620	15437.2
1621	13363.2
1622	8777.1
1623	7265.3
1624	7746.3
1625	11364.1
1626	14089.8
1627	13910.5
1628	13848.1
1629	13476.5
1630	12881.1
1631	12331.9
1632	11815.4
1633	11287.3
1634	10769.7
1635	10371.7
1636	10124.1
1637	10027.2
1638	9791.8
1639	7572.1
1640	5168.1
1641	4304.9
1642	3156.8
1643	2552.2
1644	2580.9
1645	3080.5
1646	4034.5
1647	4204.9
1648	4737.2
1649	5544.2
1650	8135.1
1651	9862.7
1652	10447.4
1653	10410.8
1654	10509.8
1655	10454.8
1656	10402.0
1657	10020.5
1658	9634.3
1659	9636.6
1660	9350.9
1661	9170.0
1662	9227.2
1663	7576.5
1664	4939.2
1665	3908.5
1666	2684.8
1667	2200.3
1668	2087.1
1669	2306.3
1670	2653.2
1671	2694.0
1672	3020.4
1673	4066.0
1674	5806.8
1675	7917.5
1676	8962.1
1677	9361.4
1678	9326.3
1679	9089.9
1680	8880.7
1681	8772.7
1682	8828.4
1683	8709.1
1684	9984.4
1685	42494.1
1686	31348.8
1687	25897.9
1688	18546.6
1689	10426.4
1690	7324.7
1691	6305.3
1692	7873.4
1693	7014.2
1694	4267.4
1695	3448.1
1696	4607.2
1697	9625.1
1698	12031.1
1699	13090.8
1700	13448.8
1701	13148.5
1702	12675.9
1703	11789.1
1704	11152.6
1705	10902.2
1706	10132.6
1707	9782.7
1708	9375.1
1709	21993.7
1710	17417.3
1711	13160.6
1712	7679.2
1713	5064.2
1714	4284.6
1715	3955.6
1716	6908.6
1717	7542.4
1718	4092.8
1719	3660.2
1720	3676.6
1721	7508.4
1722	10022.0
1723	11269.3
1724	11998.6
1725	11966.0
1726	11734.6
1727	11210.9
1728	10840.1
1729	10279.2
1730	9879.4
1731	9612.6
1732	9620.6
1733	18349.0
1734	15542.7
1735	12885.7
1736	9229.9
1737	7725.5
1738	8365.6
1739	8211.4
1740	10479.3
1741	9095.6
1742	5842.0
1743	5183.4
1744	5790.4
1745	10436.5
1746	13271.0
1747	13105.7
1748	13454.4
1749	13962.3
1750	13505.5
1751	12768.4
1752	12048.6
1753	11602.5
1754	11225.0
1755	10947.4
1756	11064.3
1757	23009.2
1758	18909.4
1759	18137.7
1760	17143.5
1761	11532.1
1762	9141.4
1763	8337.3
1764	11264.2
1765	11848.9
1766	8233.2
1767	6956.3
1768	6890.1
1769	9566.5
1770	11053.9
1771	11443.6
1772	12481.5
1773	12561.9
1774	12382.9
1775	11997.3
1776	11684.6
1777	11364.7
1778	11332.4
1779	11319.8
1780	11847.3
1781	27729.1
1782	23035.1
1783	19480.4
1784	16493.1
1785	10330.6
1786	7422.4
1787	7394.6
1788	8835.9
1789	6908.3
1790	3433.0
1791	2951.9
1792	3546.5
1793	6407.5
1794	8818.2
1795	11090.7
1796	12273.5
1797	12447.9
1798	12337.6
1799	11896.5
1800	11276.1
1801	10754.0
1802	10314.0
1803	10156.5
1804	10056.2
1805	9828.0
1806	9522.0
1807	8853.2
1808	8028.6
1809	7108.3
1810	5537.2
1811	4289.3
1812	4039.8
1813	3693.7
1814	3834.1
1815	3021.8
1816	3014.0
1817	4017.7
1818	5884.7
1819	7359.7
1820	7880.7
1821	8104.7
1822	8336.4
1823	8251.1
1824	8001.0
1825	7893.3
1826	8019.5
1827	8120.2
1828	8506.3
1829	8808.5
1830	9157.0
1831	9122.5
1832	8268.7
1833	6971.4
1834	6250.9
1835	5859.1
1836	5465.4
1837	5041.5
1838	3696.1
1839	3827.2
1840	5209.1
1841	6265.1
1842	8729.0
1843	10310.2
1844	10786.0
1845	11268.6
1846	11387.6
1847	11315.3
1848	11556.6
1849	11725.7
1850	11769.5
1851	11895.4
1852	16257.0
1853	78992.4
1854	57243.1
1855	43982.4
1856	34057.0
1857	26064.0
1858	23226.8
1859	23302.6
1860	27549.4
1861	24740.1
1862	22236.6
