time [h]	MFH4.0 [W]
1614	43114.60
1615	30502.14
1616	22118.39
1617	18106.37
1618	17644.22
1619	16688.34
1620	13918.75
1621	9808.49
1622	4608.51
1623	3671.83
1624	4488.32
1625	9555.35
1626	12788.77
1627	14039.14
1628	20445.92
1629	17606.49
1630	21228.59
1631	2367.80
1632	2499.60
1633	2630.58
1634	2934.38
1635	3125.29
1636	3184.43
1637	44469.94
1638	43051.03
1639	31941.30
1640	25536.04
1641	19267.40
1642	18595.96
1643	18188.02
1644	17827.28
1645	13139.30
1646	9264.32
1647	8819.15
1648	13526.59
1649	15878.78
1650	15818.61
1651	14189.30
1652	17988.05
1653	13640.20
1654	15195.44
1655	1374.48
1656	1479.86
1657	1526.05
1658	1528.02
1659	1509.85
1660	1653.65
1661	32065.13
1662	26295.81
1663	20661.56
1664	18653.83
1665	13490.87
1666	8863.68
1667	7245.48
1668	5486.71
1669	2893.92
1670	1450.80
1671	1470.74
1672	2104.06
1673	4363.24
1674	6489.36
1675	7232.27
1676	12529.25
1677	9018.34
1678	11766.82
1679	1575.17
1680	1872.48
1681	2053.55
1682	2017.92
1683	2054.62
1684	2155.58
1685	35312.38
1686	28691.00
1687	20421.85
1688	17107.33
1689	12392.62
1690	10220.61
1691	6377.92
1692	3978.15
1693	1409.31
1694	604.85
1695	728.28
1696	1215.47
1697	2108.76
1698	3791.77
1699	4894.44
1700	9879.45
1701	6479.01
1702	8619.93
1703	1147.26
1704	1366.99
1705	1502.39
1706	1622.43
1707	1799.37
1708	1917.43
1709	31575.07
1710	27508.31
1711	16989.76
1712	10551.16
1713	7399.00
1714	5455.75
1715	3801.66
1716	2054.16
1717	616.43
1718	322.08
1719	311.09
1720	437.10
1721	833.13
1722	1712.61
1723	2647.62
1724	8051.03
1725	4148.43
1726	5444.21
1727	540.33
1728	931.44
1729	1194.30
1730	1361.54
1731	1438.12
1732	1451.39
1733	27086.01
1734	25378.22
1735	16050.65
1736	11414.06
1737	8249.74
1738	5966.48
1739	4301.41
1740	2554.27
1741	694.23
1742	307.91
1743	232.98
1744	225.45
1745	483.00
1746	950.76
1747	1760.65
1748	6906.88
1749	3238.89
1750	4257.72
1751	178.54
1752	410.74
1753	688.37
1754	799.26
1755	783.22
1756	870.98
1757	20525.55
1758	19836.16
1759	12821.37
1760	10371.84
1761	7548.20
1762	6236.72
1763	3798.39
1764	1071.39
1765	307.11
1766	233.79
1767	175.60
1768	204.33
1769	444.65
1770	895.25
1771	1457.79
1772	6513.44
1773	3174.02
1774	4211.73
1775	294.99
1776	596.58
1777	799.00
1778	868.02
1779	1051.75
1780	1212.42
1781	20970.56
1782	19069.86
1783	10459.03
1784	8937.63
1785	6313.25
1786	3201.44
1787	1399.37
1788	600.41
1789	279.15
1790	236.02
1791	226.14
1792	460.97
1793	1019.74
1794	1713.31
1795	2345.93
1796	7294.56
1797	3848.22
1798	4018.93
1799	86.15
1800	180.18
1801	297.14
1802	428.89
1803	472.35
1804	540.89
1805	13936.03
1806	14744.13
1807	9622.78
1808	8764.03
1809	6126.44
1810	5604.08
1811	5067.02
1812	5147.76
1813	3808.11
1814	3426.55
1815	3448.87
1816	2909.46
1817	3896.36
1818	4357.45
1819	4132.87
1820	9055.74
1821	5180.52
1822	5659.65
1823	324.80
1824	465.46
1825	546.74
1826	667.64
1827	833.60
1828	954.36
1829	19010.52
1830	17722.90
1831	10302.55
1832	8682.32
1833	5868.89
1834	5869.55
1835	5303.35
1836	4196.79
1837	1822.38
1838	609.50
1839	777.92
1840	1468.55
1841	3301.01
1842	4618.88
1843	5059.53
1844	9754.12
1845	5400.68
1846	5941.50
1847	575.75
1848	730.14
1849	1121.72
1850	1421.08
1851	1477.29
1852	1646.33
1853	28770.32
1854	24794.81
1855	14130.27
1856	9718.52
1857	7318.23
1858	5981.85
1859	4799.65
1860	3959.13
1861	2079.32
1862	740.39
1863	651.49
1864	884.71
1865	1564.40
1866	2651.58
1867	4284.46
1868	9668.71
